MAIN_ID,RA,DEC,Distance_distance
IC 1454,22 42 24.6191,+80 26 31.247,4.731
PN PB    9,19 27 44.8123,+10 24 20.698,4.006
PN H  3-75,05 40 44.9723,+12 21 22.518,2.927
PN M  2-13,17 28 34.1923,-13 26 20.742,16.8
PN A66   36,13 40 41.3455,-19 52 55.324,0.383
PN K  3-90,01 24 58.6160,+65 38 36.098,5.881
NGC  6153,16 31 30.5708,-40 15 12.646,1.499
PN M  1-72,19 41 33.9729,+17 45 17.525,9.785
PN My   60,10 31 33.4335,-55 20 50.821,4.858
PN A66   26,08 09 01.644,-32 40 24.91,3.415
[CJH91] NGC 1023 o,02 40 07.2586,+39 02 12.474,82.728
PN M  2-46,18 46 34.61,-08 28 02.1,13.79
Hen 1-5,20 11 56.0595,+20 20 04.420,3.548
PN G018.9+04.1,18 10 26.48,-10 29 03.1,6.863
NGC  2346,07 09 22.5215,-00 48 23.610,1.733
PN M  1-56,18 37 46.27,-17 05 46.8,13.87
2MASS J05243285-6900067,05 24 32.8496,-69 00 06.631,191.139
PN A66   28,08 41 35.5549,+58 13 48.384,0.927
NGC  3918,11 50 17.7709,-57 10 57.017,1.623
PN H  1-59,18 11 29.263,-27 46 15.69,9.53
PN KFL   13,18 12 45.0792,-25 44 24.346,5.894
PN K  1-20,23 39 10.842,+48 12 29.07,4.332
PN K  1-8,07 03 17.3,-10 35 02,1183.0
LEDA  166684,20 35 28.8526,+51 35 27.398,46.37
NGC  6891,20 15 08.8435,+12 42 15.584,2.9
PN K  1-22,11 26 43.7671,-34 22 11.178,1.009
PN H  1-35,17 49 13.9398,-34 22 52.812,5.935
